history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MICEXINDEXCF;1998-01-20;Индекс МосБиржи (архив);Индекс МосБиржи (архив);73.33;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-21;Индекс МосБиржи (архив);Индекс МосБиржи (архив);71.7;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-22;Индекс МосБиржи (архив);Индекс МосБиржи (архив);67.75;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-23;Индекс МосБиржи (архив);Индекс МосБиржи (архив);65.98;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-26;Индекс МосБиржи (архив);Индекс МосБиржи (архив);60.34;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-27;Индекс МосБиржи (архив);Индекс МосБиржи (архив);62.99;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-28;Индекс МосБиржи (архив);Индекс МосБиржи (архив);62.71;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-29;Индекс МосБиржи (архив);Индекс МосБиржи (архив);57.95;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-30;Индекс МосБиржи (архив);Индекс МосБиржи (архив);62.21;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-02;Индекс МосБиржи (архив);Индекс МосБиржи (архив);67.39;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-03;Индекс МосБиржи (архив);Индекс МосБиржи (архив);65.96;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-04;Индекс МосБиржи (архив);Индекс МосБиржи (архив);64.1;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-05;Индекс МосБиржи (архив);Индекс МосБиржи (архив);67.48;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-06;Индекс МосБиржи (архив);Индекс МосБиржи (архив);70.4;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-09;Индекс МосБиржи (архив);Индекс МосБиржи (архив);71.36;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-10;Индекс МосБиржи (архив);Индекс МосБиржи (архив);69.71;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-11;Индекс МосБиржи (архив);Индекс МосБиржи (архив);72.15;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-12;Индекс МосБиржи (архив);Индекс МосБиржи (архив);70.63;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-13;Индекс МосБиржи (архив);Индекс МосБиржи (архив);69.6;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-16;Индекс МосБиржи (архив);Индекс МосБиржи (архив);70.32;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-02-17;Индекс МосБиржи (архив);Индекс МосБиржи (архив);72.09;;;;;;;2;;RUB;


